centrality,label_percentage,score
degreee,0.01,0.8540706605222733
degreee,0.05,0.9746926970354303
degreee,0.1,0.9819004524886878
closeness,0.01,0.9058749210360076
closeness,0.05,0.9512727272727273
closeness,0.1,0.9766390354182366
betweenness,0.01,0.8851774530271399
betweenness,0.05,0.9586305278174038
betweenness,0.1,0.9833333333333334
random,0.01,0.8939283101682517
random,0.05,0.9560685033507074
random,0.1,0.9742813918305598
